

MESSAGE: Pygame initialized for simulation.

########## Simulation state - INI ###########

# solutions # : EMPTY 

# sensors # : 20

 ------  parameters ------  

# contact hurt (training agent) # : player

multiple mode: no

enemies list: 5

current enemy: 5

player mode: ai

enemy mode: static

level: 2

clock precision: low

inputs coded: no

random initialization: yes

expiration time: 3000

speed: fastest

load player: yes

load enemy: yes

sound: off

overture time: 100

logs: on

save logs: yes

########## Simulation state - END ###########

PARAMETER CHANGE: enemies = [5]

RUN: run status: enemy: 5; fitness: -100.9277552789821; player life: 59.80000000000033; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -106.72262979485545; player life: 0; enemy life: 100; time: 831

RUN: run status: enemy: 5; fitness: -83.6677552789821; player life: 42.40000000000029; enemy life: 90.0; time: 1000

RUN: run status: enemy: 5; fitness: -101.9477552789821; player life: 49.60000000000031; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -97.98775527898212; player life: 89.2000000000001; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -106.36130247757299; player life: 0; enemy life: 100; time: 579

RUN: run status: enemy: 5; fitness: -97.56775527898213; player life: 93.40000000000006; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -106.16331480403464; player life: 0; enemy life: 100; time: 475

RUN: run status: enemy: 5; fitness: -100.8677552789821; player life: 60.40000000000033; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -106.3491389913798; player life: 0; enemy life: 100; time: 572

RUN: run status: enemy: 5; fitness: -98.46775527898212; player life: 84.40000000000015; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -97.98775527898212; player life: 89.2000000000001; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 88.96027017401381; player life: 45.4000000000003; enemy life: 0; time: 265

RUN: run status: enemy: 5; fitness: -102.0077552789821; player life: 49.000000000000306; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -106.32972090552269; player life: 0; enemy life: 100; time: 561

RUN: run status: enemy: 5; fitness: -68.49375383985168; player life: 0; enemy life: 80.0; time: 661

RUN: run status: enemy: 5; fitness: -103.74775527898211; player life: 31.600000000000264; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 92.7532626283337; player life: 82.00000000000017; enemy life: 0; time: 232

RUN: run status: enemy: 5; fitness: -104.16775527898211; player life: 27.400000000000254; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 90.86626719449066; player life: 65.80000000000032; enemy life: 0; time: 303

RUN: run status: enemy: 5; fitness: 26.93157441175589; player life: 0; enemy life: 30.0; time: 432

RUN: run status: enemy: 5; fitness: -78.14775527898213; player life: 97.60000000000002; enemy life: 90.0; time: 1000

RUN: run status: enemy: 5; fitness: -100.68775527898211; player life: 62.20000000000034; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -106.33505425149806; player life: 0; enemy life: 100; time: 564

RUN: run status: enemy: 5; fitness: -98.64775527898212; player life: 82.60000000000016; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -106.14203740558736; player life: 0; enemy life: 100; time: 465

RUN: run status: enemy: 5; fitness: 26.908690117922305; player life: 0; enemy life: 30.0; time: 442

